Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Precio
Blanc (Gaston Hochar) 2008,Lebanon,Bekaa Valley,Château Musar,3.8,219,32.07,2008,32,07
Pinot Grigio (Tralcetto) 2019,Italy,Terre di Chieti,Cantina Zaccagnini,4.0,219,8.73,2019,8,73
Special Cuvée Sauvignon Blanc 2019,South Africa,Robertson,Springfield Estate,4.1,220,12.89,2019,12,89
Wachenheimer Riesling 2017,Germany,Pfalz,Dr. Bürklin-Wolf,3.6,221,13.5,2017,13,5
Soave Classico 2018,Italy,Soave Classico,Montresor,3.4,221,5.6,2018,5,6
Lugana 2018,Italy,Lugana,Zonin,3.3,221,8.73,2018,8,73
Vire-Clessé 2016,France,Viré-Clessé,Les Héritiers du Comte Lafon,4.0,222,29.9,2016,29,9
Novellum Chardonnay 2018,France,Languedoc-Roussillon,Domaine Lafage,3.8,222,8.29,2018,8,29
Pouilly-Fumé 2018,France,Pouilly-Fumé,Château Favray,4.0,222,14.13,2018,14,13
Ürziger Würzgarten Riesling Spätlese 2016,Germany,Mosel,Markus Molitor,4.0,223,19.01,2016,19,01
Miss Lucy White Blend 2019,South Africa,Robertson,Springfield Estate,3.9,223,13.49,2019,13,49
Kalkundkiesel 2018,Austria,Burgenland,Claus Preisinger,4.2,223,15.89,2018,15,89
Sex Drugs & Rock'n Roll. Just Riesling For Me Thanks! 2017,Germany,Pfalz,Emil Bauer & Söhne,3.7,223,8.95,2017,8,95
Vermentino (Etichetta Nera/Black Label) 2018,Italy,Colli di Luni,Lvnae,4.0,224,19.5,2018,19,5
W... Dreams Bianco (Were Dreams...) 2017,Italy,Venezia Giulia,Jermann,4.2,224,45.49,2017,45,49
Chardonnay Reserva 2017,Chile,Maipo Valley,Haras de Pirque,3.6,224,9.99,2017,9,99
Alisia Pinot Grigio 2018,Italy,delle Venezie,Astoria,3.8,225,10.29,2018,10,29
Castagnolo Orvieto Classico Superiore 2017,Italy,Orvieto Classico,Barberani,3.7,225,11.1,2017,11,1
Chardonnay 2018,South Africa,Western Cape,Barista,3.8,225,8.5,2018,8,5
Cubía (Tenuta Ficuzza) 2014,Italy,Sicilia,Cusumano,3.7,225,13.55,2014,13,55
Réserve Spéciale Chardonnay 2018,France,Pays d'Oc,Gérard Bertrand,3.7,226,8.32,2018,8,32
Fumé Blanc 2018,United States,Napa Valley,Robert Mondavi,3.8,226,24.18,2018,24,18
Chardonnay 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.5,226,8.78,2018,8,78
Gavi dei Gavi (Black label) 2019,Italy,Gavi,La Scolca,4.1,227,24.85,2019,24,85
Les Tourelles de la Crée Montagny Premier Cru 2016,France,Montagny Premier Cru,Château de la Crée,4.1,227,43.28,2016,43,28
GB Charm Riesling 2018,Germany,Rheingau,Georg Breuer,3.7,228,9.26,2018,9,26
Meursault 2017,France,Meursault,Louis Jadot,4.3,229,56.26,2017,56,26
Pinot Grigio 2018,Italy,Friuli Aquileia,Ca' Bolani,3.7,229,9.1,2018,9,1
Chardonnay 2017,South Africa,Paarl,La Motte Wine Estate,3.7,229,15.5,2017,15,5
Roero Pradalupo Arneis 2018,Italy,Roero,Fontanafredda,3.8,229,10.93,2018,10,93
Special Cuvée Chardonnay 2016,Chile,Casablanca Valley,Montes Alpha,4.0,230,18.94,2016,18,94
Lugana Bianco 2018,Italy,Lugana,Olivini,3.9,230,7.99,2018,7,99
Marani 2017,Italy,Veneto,Sartori,3.8,231,11.69,2017,11,69
Cala Silente Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,Santadi,3.8,231,9.5,2018,9,5
Bordeaux Blanc 2018,France,Bordeaux,Baron Philippe de Rothschild,3.2,231,9.95,2018,9,95
Müller 2018,Germany,Baden,Enderle & Moll,3.9,231,7.7,2018,7,7
Las Mulas Reserva Sauvignon Blanc 2019,Chile,Central Valley,Miguel Torres,3.6,232,8.39,2019,8,39
Vitral Reserva Chardonnay 2015,Chile,Casablanca Valley,Viña Maipo,3.4,232,9.56,2015,9,56
Riesling Kabinett Trocken 2018,Germany,Rheingau,Robert Weil,3.9,233,17.99,2018,17,99
Gran Sasso Alta Quota Terre di Chieti Pecorino 2017,Italy,Terre di Chieti,Gran Sasso,3.6,233,16.08,2017,16,08
Casasole Orvieto Classico Amabile 2018,Italy,Orvieto,Santa Cristina,3.9,233,7.63,2018,7,63
The Pavillion Chenin Blanc 2019,South Africa,Western Cape,Boschendal,3.7,233,6.3,2019,6,3
Riesling Kabinett 2017,Germany,Rheingau,Kloster Eberbach,3.6,234,11.49,2017,11,49
Coastal Cuvée Sauvignon Blanc 2019,South Africa,Coastal Region,Delaire Graff,3.8,235,12.95,2019,12,95
Riesling 2019,Germany,Nahe,Dönnhoff,3.8,235,10.5,2019,10,5
Libaio Chardonnay 2018,Italy,Toscana,Ruffino,3.5,235,10.68,2018,10,68
Ruppertsberger Reiterpfad Riesling 2016,Germany,Pfalz,Von Winning,3.9,235,16.52,2016,16,52
Sauvignon Blanc 2019,South Africa,Citrusdal Mountain,Cederberg,4.2,235,15.27,2019,15,27
Private Reserve Chardonnay 2017,United States,Napa Valley,Beringer,4.0,235,65.79,2017,65,79
The Stump Jump White Blend 2018,Australia,McLaren Vale,d'Arenberg,4.0,236,8.5,2018,8,5
The Olive Grove Chardonnay 2017,Australia,McLaren Vale,d'Arenberg,3.6,236,13.15,2017,13,15
Pioneer Block 21 Bell Block Sauvignon Blanc 2018,New Zealand,Blenheim,Saint Clair,4.0,236,18.95,2018,18,95
Sauvignon Blanc - Chardonnay 2018,South Africa,Walker Bay,Ashbourne,3.6,237,10.35,2018,10,35
Chablis 2018,France,Chablis,Simonnet-Febvre,3.8,238,19.69,2018,19,69
Chardonnay 2018,United States,California,Woodhaven,3.9,238,7.36,2018,7,36
Chablis 2018,France,Chablis,Domaine William Fèvre,3.9,238,24.99,2018,24,99
Pouilly-Fuissé 2017,France,Pouilly-Fuissé,J.A. Ferret,4.1,239,36.52,2017,36,52
Cellar Selection Chardonnay 2016,New Zealand,Hawke's Bay,Sileni Estates,3.4,239,11.02,2016,11,02
Côte des Roses Chardonnay 2018,France,Pays d'Oc,Gérard Bertrand,3.6,239,10.4,2018,10,4
Pouilly-Vinzelles 2016,France,Pouilly-Vinzelles,Joseph Drouhin,3.9,239,24.01,2016,24,01
Kaitui Sauvignon Blanc 2019,Germany,Pfalz,Schneider,4.1,239,12.9,2019,12,9
Condrieu 2017,France,Condrieu,E. Guigal,4.0,240,37.97,2017,37,97
Max Reserva Chardonnay 2018,Chile,Aconcagua Valley,Errazuriz,3.9,240,13.16,2018,13,16
Gran Maestro Appassimento Bianco 2018,Italy,Puglia,Maestro Italiano,3.7,241,6.9,2018,6,9
Chenin Blanc 2019,South Africa,Paarl,Backsberg,3.7,241,6.5,2019,6,5
Chablis Premier Cru 'Montée de Tonnerre' 2016,France,Chablis Premier Cru,Louis Michel & Fils,4.2,241,36.99,2016,36,99
Creative Block 2 2018,South Africa,Stellenbosch,Spier,3.7,241,14.25,2018,14,25
Suadens Campania Bianco 2018,Italy,Campania,Nativ,4.1,241,13.55,2018,13,55
Riesling Scharzhof 2018,Germany,Wiltingen,Egon Müller - Scharzhof,4.1,242,32.9,2018,32,9
Riesling Vom Kalkstein Trocken 2018,Germany,Rheinhessen,Wittmann,3.9,242,17.7,2018,17,7
Seleção do Ano Branco 2018,Portugal,Alentejo,Monte da Ravasqueira,3.8,243,8.4,2018,8,4
Fiano Di Avellino Radici 2018,Italy,Fiano de Avellino,Mastroberardino,3.9,243,10.91,2018,10,91
Frascati Secco 2018,Italy,Frascati,Fontana Candida,3.4,243,6.19,2018,6,19
Le Sabbie dell’Etna Bianco 2018,Italy,Etna,Firriato,3.6,243,13.58,2018,13,58
Cirò Bianco 2018,Italy,Cirò,Librandi,3.7,243,7.69,2018,7,69
Terra Montosa Riesling 2017,Germany,Rheingau,Georg Breuer,3.9,244,19.5,2017,19,5
Pinot Bianco Riserva Vorberg 2017,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.1,244,24.75,2017,24,75
Oberhäuser Leistenberg Riesling Kabinett 2018,Germany,Nahe,Dönnhoff,3.9,244,14.13,2018,14,13
Sancerre Blanc 2018,France,Sancerre,Domaine du Nozay,3.8,244,17.84,2018,17,84
Sancerre Blanc 2018,France,Sancerre,Comte Lafond,4.0,244,28.9,2018,28,9
Don Miguel Vineyard La Masía Chardonnay 2017,United States,Russian River Valley,Marimar Estate,4.2,245,42.99,2017,42,99
Mineralschiefer Riesling - Trocken 2018,Germany,Mosel,Grans-Fassian,3.8,245,12.49,2018,12,49
The Straits Sauvignon Blanc 2017,New Zealand,Marlborough,Sileni Estates,3.7,245,15.39,2017,15,39
SL Riesling Trocken 2016,Germany,Mosel,Schloss Lieser,3.7,245,11.47,2016,11,47
Classic Series Sauvignon Blanc - Chardonnay 2017,Chile,Central Valley,Viña Maipo,3.3,246,6.2,2017,6,2
Corton-Charlemagne Grand Cru 1999,France,Corton-Charlemagne Grand Cru,Bonneau du Martray,4.2,246,217.95,1999,217,95
Blanc 2019,France,Vin de France,La Vieille Ferme,3.6,246,6.4,2019,6,4
Litorale Vermentino 2018,Italy,Maremma Toscana,Val delle Rose,3.6,247,11.05,2018,11,05
Albente 2018,Italy,Campania,Feudi di San Gregorio,3.6,248,5.29,2018,5,29
Estate Selection Furmint - Pinot Blanc 2017,Slovenia,Podravje,Puklavec Family Wines,3.7,248,6.95,2017,6,95
Saar Riesling 2018,Germany,Mosel,Van Volxem,3.8,248,12.5,2018,12,5
Spèra 2018,Italy,Vermentino di Gallura,Siddura,3.8,248,14.13,2018,14,13
Gewürztraminer 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.8,248,11.6,2018,11,6
Sauvignon Blanc 2018,Israel,Galilee,Yarden,3.8,249,11.9,2018,11,9
L'Uetta Fiano Puglia 2018,Italy,Puglia,Masca del Tacco,4.1,249,10.49,2018,10,49
Grüner Veltliner Federspiel Terrassen 2019,Austria,Wachau,Domäne Wachau,3.8,249,9.4,2019,9,4
Saluez Le Saboteur 2018,South Africa,Cape South Coast,Luddite,3.9,250,18.9,2018,18,9
Monteoro Vermentino di Gallura Superiore 2018,Italy,Vermentino di Gallura,Sella & Mosca,3.6,250,12.53,2018,12,53
Sauvignon Blanc 2018,Chile,Leyda Valley,Amaral,3.7,251,8.75,2018,8,75
Zeltinger Sonnenuhr Riesling Kabinett 2016,Germany,Mosel,Markus Molitor,3.7,252,19.9,2016,19,9
Giunco 2018,Italy,Vermentino di Sardegna,Mesa,3.8,252,13.89,2018,13,89
Torrontes 2018,Argentina,Salta,Alamos,3.5,252,7.31,2018,7,31
Douro Reserva Redoma Branco 2018,Portugal,Douro,Niepoort,4.3,252,33.14,2018,33,14
Red Shoulder Ranch Chardonnay 2017,United States,Los Carneros,Shafer,4.2,253,65.0,2017,65
Director's Cut Chardonnay 2017,United States,Russian River Valley,Francis Ford Coppola,4.1,253,32.5,2017,32,5
Chardonnay 2017,United States,Napa Valley,Robert Mondavi,3.7,253,26.81,2017,26,81
Riesling Monopol 2018,Germany,Mosel,Maximin Grünhaus,3.9,253,10.63,2018,10,63
Graves Blanc 2012,France,Graves,Clos Floridène,3.8,253,22.32,2012,22,32
Chardonnay 2019,Chile,Colchagua Valley,Los Vascos,3.5,254,8.2,2019,8,2
Réserve della Contessa 2018,Italy,Südtirol - Alto Adige,Manincor,3.8,254,15.98,2018,15,98
Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Alois Lageder,3.8,254,11.5,2018,11,5
Riesling Kabinett 2018,Germany,Rheingau,Kloster Eberbach,3.6,254,11.56,2018,11,56
Viognier 2018,France,Rhone Valley,Paul Jaboulet Aîné,3.6,254,7.7,2018,7,7
Crozes Hermitage Domaine Mule Blanche 2017,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,254,37.79,2017,37,79
Pinot Gris Alsace Réserve Personnelle 2013,France,Alsace,Trimbach,4.1,255,31.03,2013,31,03
Signature Branco 2017,Portugal,Alentejano,Mocho Galego,3.7,256,8.0,2017,8
Chardonnay 2016,Australia,Margaret River,Vasse Felix,3.9,256,34.54,2016,34,54
Veneto Custoza 2019,Italy,Veneto,Monte del Frá,4.0,256,6.6,2019,6,6
Zeltinger Sonnenuhr Riesling Spätlese 2014,Germany,Mosel,Markus Molitor,4.0,257,23.9,2014,23,9
Boschen Blanc 2018,South Africa,Western Cape,Boschendal,3.7,257,7.99,2018,7,99
Albizzia Chardonnay 2018,Italy,Toscana,Frescobaldi,3.7,258,7.47,2018,7,47
Deidesheimer Herrgottsacker 2015,Germany,Pfalz,Von Winning,3.9,258,20.95,2015,20,95
Chaminé Branco 2015,Portugal,Alentejano,Cortes de Cima,3.5,259,13.95,2015,13,95
Mâcon-Milly-Lamartine 2015,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.9,260,25.92,2015,25,92
Loureiro Dócil 2018,Portugal,Vinho Verde,Niepoort,3.9,260,8.92,2018,8,92
Wien.1 Vienna White Blend 2018,Austria,Niederösterreich,Weingut R&A Pfaffl,3.9,262,9.99,2018,9,99
Sémillon - Chardonnay 2016,Australia,South Australia,Rawson's Retreat,3.4,262,8.72,2016,8,72
Vouvray Classic 2018,France,Vouvray,Marc Brédif,4.0,262,14.9,2018,14,9
Chablis 2017,France,Chablis,Domaine Jean Collet,4.0,262,15.5,2017,15,5
Spitfire Sauvignon Blanc (Small Parcels) 2017,New Zealand,Marlborough,Kim Crawford,4.0,263,27.04,2017,27,04
Rossj-Bass Langhe 2018,Italy,Langhe,Gaja,4.4,263,62.95,2018,62,95
Cuvée Silex Vouvray 2018,France,Vouvray,Vigneau-Chevreau,3.9,263,13.5,2018,13,5
Masseria dei Carmelitani Gavi 2018,Italy,Gavi,Vite Colte,4.0,264,9.66,2018,9,66
Riesling Porphyr 2017,Germany,Nahe,Hexamer,3.9,265,12.2,2017,12,2
Mâcon-Villages 2018,France,Mâcon-Villages,Les Héritiers du Comte Lafon,3.8,265,18.9,2018,18,9
Réserve Spéciale Viognier 2017,France,Pays d'Oc,Gérard Bertrand,3.6,266,9.56,2017,9,56
Montagny 1er Cru La Grande Roche 2018,France,Montagny Premier Cru,Louis Latour,3.9,266,17.45,2018,17,45
Légende (R) Bordeaux Blanc 2017,France,Bordeaux,Barons de Rothschild (Lafite),3.8,266,12.14,2017,12,14
Gewürztraminer Réserve 2018,France,Alsace,Lucien Albrecht,4.0,267,11.36,2018,11,36
Riesling Trocken Blauschiefer 2018,Germany,Mosel,Dr. Loosen,3.8,267,10.4,2018,10,4
Chardonnay Banghoek Reserve 2018,South Africa,Stellenbosch,Delaire Graff,4.0,267,17.95,2018,17,95
Sauvignon Blanc de Purcari 2018,Moldova,South Eastern,Château Purcari,4.0,267,10.98,2018,10,98
Blanc de Pinot Noir 2018,Germany,Pfalz,Fußer,3.9,268,7.94,2018,7,94
Kiedrich Gräfenberg Riesling Trocken GG 2015,Germany,Rheingau,Robert Weil,4.0,268,41.87,2015,41,87
Douro Guru Branco 2017,Portugal,Douro,Wine & Soul,4.2,269,25.34,2017,25,34
Sauvignon Blanc 2018,South Africa,Stellenbosch,Zonnebloem,3.5,269,6.9,2018,6,9
Riesling Tradition 2018,Germany,Pfalz,Philipp Kuhn,3.8,271,9.76,2018,9,76
Cuvée Terlaner 2018,Italy,Südtirol - Alto Adige,Terlan (Terlano),3.9,271,16.47,2018,16,47
Hermitage Le Chevalier de Sterimberg 2015,France,Hermitage,Paul Jaboulet Aîné,4.2,272,82.48,2015,82,48
Graupert Grauburgunder 2017,Austria,Burgenland,Meinklang,3.8,273,17.5,2017,17,5
Petit Chablis 2018,France,Petit Chablis,Domaine Hamelin,3.9,273,12.9,2018,12,9
Schlossberg 2015,Germany,Rheingau,Schloss Vollrads,3.9,274,33.9,2015,33,9
By the Glass Riesling 2018,Germany,Mosel,Villa Huesgen,3.6,274,8.16,2018,8,16
Vigna Kastelaz Gewürztraminer 2016,Italy,Südtirol - Alto Adige,Elena Walch,4.2,274,31.53,2016,31,53
Sauvignon Blanc 2018,France,Pays d'Oc,Paul Mas,3.7,274,5.64,2018,5,64
Vom Lehm Gewürztraminer 2015,Italy,Südtirol - Alto Adige,Castelfeder,3.8,274,12.48,2015,12,48
Zeltinger Sonnenuhr Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.0,275,22.95,2015,22,95
Clos de la Coulée de Serrant 2015,France,Savennières-Coulée-de-Serrant,Nicolas Joly,4.2,275,72.5,2015,72,5
Alte Reben Riesling 2015,Germany,Mosel,Van Volxem,4.0,275,20.95,2015,20,95
Schieferterrassen 2017,Germany,Mosel,Heymann-Löwenstein,4.0,275,18.5,2017,18,5
Grüner Veltliner 2018,Austria,Niederösterreich,Weingut Bründlmayer,3.7,276,10.99,2018,10,99
Riesling Kabinett Trocken 2017,Germany,Rheingau,Schloss Vollrads,3.9,276,13.9,2017,13,9
Blanc de Noir Cabernet Sauvignon 2018,China,Ningxia,Château Changyu Moser XV 张裕摩塞尔十五世酒庄,3.5,276,12.03,2018,12,03
Venezia Giulia Pinot Grigio 2017,Italy,Venezia Giulia,Lis Neris,3.8,277,20.5,2017,20,5
Planalto Reserva Douro Branco 2019,Portugal,Douro,Casa Ferreirinha,3.9,277,8.72,2019,8,72
Saint-Véran 2018,France,Saint-Véran,Joseph Drouhin,3.8,277,16.6,2018,16,6
Re Manfredi Basilicata Bianco 2018,Italy,Basilicata,Terre degli Svevi,3.8,279,8.4,2018,8,4
Mâcon-Milly-Lamartine 2016,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.8,279,22.5,2016,22,5
Chablis 2018,France,Chablis,Domaine des Malandes,3.8,280,16.09,2018,16,09
Chardonnay 2017,United States,Napa Valley,Napa Cellars,3.9,281,22.75,2017,22,75
Chardonnay 2019,South Africa,Stellenbosch,Lanzerac,3.9,281,10.9,2019,10,9
Chardonnay Reserve Collection 2018,South Africa,Stellenbosch,Tokara,4.1,282,25.26,2018,25,26
Sauvignon Blanc Organic 2016,Chile,Casablanca Valley,Veramonte,3.5,282,8.41,2016,8,41
Le G de Guiraud Bordeaux Blanc Sec 2018,France,Bordeaux,Château Guiraud,3.9,282,19.45,2018,19,45
Zeltinger Sonnenuhr Riesling Kabinett 2015,Germany,Mosel,Markus Molitor,3.9,282,16.95,2015,16,95
Priara Pinot Grigio 2016,Italy,Friuli-Venezia Giulia,Pradio,3.9,282,9.7,2016,9,7
Sauvignon Blanc 2016,United States,California,Geyser Peak,3.3,282,10.51,2016,10,51
Monte Velho Branco 2019,Portugal,Alentejano,Esporão,3.8,282,5.8,2019,5,8
Sauvignon Touraine 2018,France,Touraine,Domaine de la Chaise,4.0,282,7.4,2018,7,4
Torricella 2016,Italy,Toscana,Ricasoli,3.9,283,11.9,2016,11,9
Zeltinger Sonnenuhr Riesling Spätlese 2016,Germany,Mosel,Markus Molitor,3.9,284,19.99,2016,19,99
The Y Series Viognier 2017,Australia,South Australia,Yalumba,3.4,285,13.82,2017,13,82
Sauvignon Blanc Bordeaux 2018,France,Bordeaux,Dourthe N°1,3.6,285,7.7,2018,7,7
Haus Klosterberg Pinot Blanc 2018,Germany,Mosel,Markus Molitor,4.0,285,9.65,2018,9,65
Vinho Verde Loureiro - Alvarinho 2019,Portugal,Minho,Aveleda,3.8,286,6.99,2019,6,99
Chenin Blanc 2018,South Africa,Stellenbosch,Stellenrust,3.7,286,14.57,2018,14,57
Hinter der Burg Grüner Veltliner 2017,Austria,Wachau,Prager,3.9,286,18.42,2017,18,42
Danie de Wet Chardonnay 2015,South Africa,Robertson,De Wetshof,3.9,286,28.6,2015,28,6
Riesling Trocken 2016,Germany,Rheingau,Balthasar Ress,3.8,286,11.9,2016,11,9
Riesling Trocken Blauschiefer 2017,Germany,Mosel,Dr. Loosen,3.7,287,9.9,2017,9,9
Adobe Chardonnay (Reserva) 2019,Chile,Casablanca Valley,Emiliana,3.6,287,8.45,2019,8,45
Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Louis Latour,4.5,288,116.0,2015,116
Kiedrich Klosterberg Riesling Trocken 2017,Germany,Rheingau,Robert Weil,3.9,289,24.0,2017,24
Sauvignon Blanc 2017,France,Pays d'Oc,Les Jamelles,3.5,290,6.25,2017,6,25
Chardonnay 2015,United States,Napa Valley,First Press,3.9,292,19.08,2015,19,08
Pinot Grigio 2017,United States,California,Gallo Family Vineyards,3.4,292,6.31,2017,6,31
Wiener Gemischter Satz 2018,Austria,Wiener Gemischter Satz,Wieninger,3.5,292,10.9,2018,10,9
Grillo 2018,Italy,Terre Siciliane,Zabu,3.5,292,4.73,2018,4,73
Reserva Sauvignon Blanc 2016,Chile,Central Valley,Caliterra,3.5,293,8.72,2016,8,72
Bukettraube 2018,South Africa,Citrusdal Mountain,Cederberg,4.1,293,13.27,2018,13,27
Porcupine Ridge Sauvignon Blanc 2019,South Africa,Franschhoek,Boekenhoutskloof,3.6,293,8.33,2019,8,33
Singing Grüner Veltliner 2018,Austria,Niederösterreich,Laurenz V.,3.8,294,10.42,2018,10,42
Riesling Trocken 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.8,294,12.4,2018,12,4
Sauvignon Blanc 2018,New Zealand,Marlborough,Fernlands,4.1,297,9.2,2018,9,2
Costamolino Vermentino di Sardegna 2019,Italy,Vermentino di Sardegna,Argiolas,3.9,298,7.4,2019,7,4
Bourgogne Chardonnay 2018,France,Bourgogne,Louis Latour,3.8,298,13.29,2018,13,29
Aconcagua Costa Chardonnay 2014,Chile,Aconcagua Valley,Errazuriz,3.9,298,22.9,2014,22,9
Vernaccia di San Gimignano Blanco 2018,Italy,Vernaccia di San Gimignano,Panizzi,3.9,300,11.92,2018,11,92
Reserva Chardonnay 2017,Chile,Casablanca Valley,Caliterra,3.5,300,6.52,2017,6,52
Sortesele Pinot Grigio Valdadige 2018,Italy,Valdadige,Santi,3.9,300,8.33,2018,8,33
La Jalousie Savennières 2015,France,Savennières,Domaine du Closel - Château des Vaults,4.1,301,29.15,2015,29,15
Riesling Trocken Blauschiefer 2015,Germany,Mosel,Dr. Loosen,3.7,301,9.7,2015,9,7
Estate Chardonnay 2018,Chile,Casablanca Valley,Errazuriz,3.5,302,8.29,2018,8,29
Portillo Chardonnay 2018,Argentina,Uco Valley,Salentein,3.6,302,8.29,2018,8,29
Chardonnay 2017,South Africa,Elgin,Paul Cluver,4.0,302,18.39,2017,18,39
Chablis 2018,France,Chablis,Bernard Defaix,3.9,303,17.9,2018,17,9
White Label Nik Weis Riesling 2018,Germany,Mosel,St. Urbans-Hof,4.0,304,9.9,2018,9,9
Gewürztraminer 2018,Italy,Südtirol - Alto Adige,Tramin,3.7,304,12.18,2018,12,18
Pinot Grigio 2019,New Zealand,Marlborough,The Ned,4.2,304,12.95,2019,12,95
Gran Verano Chardonnay 2018,Chile,Central Valley,Apaltagua,3.4,304,6.95,2018,6,95
Ribolla Gialla 2018,Italy,Friuli Grave,Forchir,3.5,305,12.58,2018,12,58
Colombard - Chardonnay 2018,Australia,South Eastern Australia,Banrock Station,3.7,305,5.79,2018,5,79
Sandstein Riesling Trocken 2018,Germany,Rheinhessen,Gysler,3.7,305,9.5,2018,9,5
Chardonnay 2017,United States,California,Geyser Peak,3.6,305,10.51,2017,10,51
Chardonnay 2017,United States,California,Gnarly Head,3.4,305,9.65,2017,9,65
Bourgogne Chardonnay (La Vignée) 2017,France,Bourgogne,Bouchard Père & Fils,3.7,306,16.74,2017,16,74
Château Grenouilles Chablis Grand Cru 2014,France,Chablis Grand Cru,La Chablisienne,4.2,307,63.54,2014,63,54
Lugana San Benedetto 2019,Italy,Lugana,Zenato,4.1,307,8.48,2019,8,48
Einstern Pinot Blanc 2016,Germany,Mosel,Markus Molitor,4.1,308,14.43,2016,14,43
Sauvignon Blanc - Pinot Grigio 2019,Slovenia,Podravje,Puklavec Family Wines,3.8,309,7.44,2019,7,44
Pouilly-Fumé En Travertin 2018,France,Pouilly-Fumé,Henri Bourgeois,4.0,309,18.95,2018,18,95
Chablis 2018,France,Chablis,Olivier Tricon,4.1,310,14.55,2018,14,55
Alandra Branco 2018,Portugal,Alentejano,Esporão,3.3,310,4.75,2018,4,75
Chardonnay Sonoma Coast 2015,United States,Sonoma Coast,Patz & Hall,4.0,311,52.0,2015,52
Les Vieux Clos 2014,France,Savennières,Nicolas Joly,3.7,311,32.5,2014,32,5
Chardonnay 2018,France,Pays d'Oc,Paul Mas,3.7,311,5.5,2018,5,5
Baroness Nadine 2017,South Africa,Western Cape,Rupert & Rothschild,4.1,312,30.52,2017,30,52
Wiener Gemischter Satz 2017,Austria,Wiener Gemischter Satz,Wieninger,3.6,312,14.29,2017,14,29
Chardonnay 2018,Australia,South Eastern Australia,Rawson's Retreat,3.5,312,7.9,2018,7,9
Riesling 2017,United States,Columbia Valley,Eroica,3.9,314,22.69,2017,22,69
Chardonnay 2017,Chile,Aconcagua Valley,Arboleda,3.7,314,15.5,2017,15,5
Vinho Verde Fonte 2019,Portugal,Vinho Verde,Aveleda,4.0,315,6.45,2019,6,45
Minho Alvarinho 2018,Portugal,Minho,Aveleda,3.7,315,8.24,2018,8,24
Sauvignon Blanc 2019,New Zealand,Marlborough,Nautilus,3.9,315,14.4,2019,14,4
Estate Torrontes (Premium) 2018,Argentina,Salta,Alta Vista,3.8,317,12.5,2018,12,5
Riesling Trocken 2018,Germany,Rheingau,Künstler,3.8,320,11.5,2018,11,5
Cardellino Chardonnay Alto Adige 2018,Italy,Südtirol - Alto Adige,Elena Walch,3.9,321,19.29,2018,19,29
Estate Sauvignon Blanc 2017,Chile,Aconcagua Valley,Errazuriz,3.5,322,8.25,2017,8,25
Eaglehawk Chardonnay 2018,Australia,South Eastern Australia,Wolf Blass,3.2,322,7.22,2018,7,22
Te Koko Sauvignon Blanc 2016,New Zealand,Marlborough,Cloudy Bay,4.2,322,54.69,2016,54,69
Altavilla della Corte Grillo 2018,Italy,Terre Siciliane,Firriato,3.8,323,10.35,2018,10,35
Sauvignon Blanc 2017,South Africa,Citrusdal Mountain,Cederberg,3.9,323,16.62,2017,16,62
Villata Roero Arneis 2018,Italy,Roero,Vite Colte,3.7,324,9.64,2018,9,64
Armador Sauvignon Blanc 2017,Chile,Casablanca Valley,Odfjell,3.6,324,7.5,2017,7,5
Marlborough Sauvignon Blanc 2018,New Zealand,Marlborough,Waipara Hills,4.0,324,13.95,2018,13,95
Pinot Grigio (Selezione) 2018,Italy,Südtirol - Alto Adige,Elena Walch,3.7,325,13.58,2018,13,58
Sauvignon Blanc 2016,Chile,Casablanca Valley,Ritual,3.7,326,15.69,2016,15,69
Puglia I Muri Bianco 2017,Italy,Puglia,Vigneti del Salento,3.7,326,6.54,2017,6,54
Special Cuvée Chardonnay 2015,Chile,Casablanca Valley,Montes Alpha,3.8,327,18.93,2015,18,93
Viognier 2018,France,Pays d'Oc,Les Jamelles,3.6,327,6.5,2018,6,5
Sauvignon Blanc (1685 Series Grande Cuvée) 2019,South Africa,Coastal Region,Boschendal,3.9,328,9.89,2019,9,89
Nova Serra Greco Di Tufo 2018,Italy,Greco di Tufo,Mastroberardino,3.9,328,10.04,2018,10,04
Montunal 2017,Italy,Lombardia,Montonale,3.9,328,31.19,2017,31,19
Chenin Blanc 2017,South Africa,Stellenbosch,Stellenrust,3.7,329,5.8,2017,5,8
Dutton Ranch Chardonnay 2016,United States,Russian River Valley,Patz & Hall,4.1,329,54.0,2016,54
Chant des Vignes Jurançon Sec 2017,France,Jurançon,Domaine Cauhapé,3.8,331,9.83,2017,9,83
Cala Reale Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,Sella & Mosca,3.7,331,10.66,2018,10,66
